#OTU ID,2280-046-AD01,2280-047-AD07,2280-048-B001,2280-049-B007,2280-050-B013,2280-051-B019,2280-052-N006,2280-053-N012,2280-054-AD02,2280-055-AD08,2280-056-B002,2280-057-B008,2280-058-B014,2280-059-N001,2280-060-N007,2280-061-N013,2280-062-AD03,2280-063-AD09,2280-064-B003,2280-065-B009,2280-066-B015,2280-067-N002,2280-068-N008,2280-069-N014,2280-070-AD04,2280-071-AD10,2280-072-B004,2280-073-B010,2280-074-B016,2280-075-N003,2280-076-N009,2280-077-AD06,2280-078-AD05,2280-079-AD11,2280-081-B011,2280-082-B017,2280-083-N004,2280-084-N010,2280-085-B006,2280-086-B012,2280-087-B018,2280-088-N005,2280-089-N011
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera,0,0,0,0,0,0,0,93,523,0,0,0,20,0,0,2,140,0,0,0,14,0,0,53,98,0,0,0,0,0,0,0,7,0,0,46,0,94,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,28,0,0,0,85,0,0,0,86,0,0,61,20,0,0,71,0,72,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides,0,0,16,60,63,0,62,138,32,0,0,0,0,84,0,0,0,0,47,61,0,0,0,14,0,0,0,51,77,0,0,3,5,0,10,0,0,0,34,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__DEV114,95,71,0,0,78,31,7,0,0,107,0,15,0,0,6,0,0,0,0,0,109,0,0,0,34,0,47,0,130,0,98,106,47,0,0,29,0,169,0,119,0,0,33
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;__;__,0,0,0,0,4,0,25,0,0,0,12,0,0,37,10,0,0,0,0,0,0,69,19,0,0,0,0,0,0,58,5,0,0,0,0,0,41,0,0,0,0,70,0
d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__Caldisericum,41,49,77,0,27,38,136,101,45,32,44,25,72,161,120,39,12,27,33,10,48,126,138,32,39,23,95,68,80,148,187,21,103,25,22,78,176,173,83,12,21,85,150
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma,0,0,58,7,16,0,24,0,0,0,77,35,0,0,79,0,0,0,81,90,0,0,8,0,0,0,0,0,8,0,0,0,0,0,11,0,10,0,54,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__ADurb.Bin063-1,88,0,2,0,0,0,47,0,36,0,0,5,0,130,73,0,0,0,0,5,0,133,0,0,0,0,0,0,0,126,0,0,0,0,24,0,111,0,0,5,0,48,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter,61,61,114,181,165,2,22,29,85,50,244,95,139,82,37,8,3,85,85,206,7,75,0,6,54,61,44,88,30,55,0,169,22,62,6,29,32,0,205,75,0,11,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured,31,0,8,0,0,0,48,0,0,72,0,6,4,80,44,0,0,0,0,0,0,119,12,0,0,28,0,15,7,83,21,0,0,40,6,0,53,20,0,0,0,77,0
